court,cohesion,n_votos,carga,stratum,reporter,weight,maj_opin_assigner,year
scotus,1.0,7,92,,,1.0,WHRehnquist,1994.0
scotus,1.0,9,92,,,1.0,WHRehnquist,1994.0
scotus,0.1111111111111111,9,92,,,1.0,WHRehnquist,1994.0
scotus,0.5555555555555556,9,92,,,1.0,WHRehnquist,1994.0
scotus,1.0,9,92,,,1.0,WHRehnquist,1994.0
scotus,0.7777777777777778,9,92,,,1.0,WHRehnquist,1994.0
scotus,1.0,9,92,,,1.0,WHRehnquist,1994.0
scotus,0.1111111111111111,9,92,,,1.0,WHRehnquist,1994.0
scotus,1.0,9,92,,,1.0,WHRehnquist,1994.0
scotus,1.0,9,92,,,1.0,WHRehnquist,1994.0
scotus,1.0,9,92,,,1.0,WHRehnquist,1994.0
scotus,1.0,9,92,,,1.0,WHRehnquist,1994.0
scotus,0.5555555555555556,9,92,,,1.0,WHRehnquist,1994.0
scotus,0.7777777777777778,9,92,,,1.0,WHRehnquist,1994.0
scotus,0.5555555555555556,9,92,,,1.0,WHRehnquist,1994.0
scotus,1.0,9,92,,,1.0,WHRehnquist,1994.0
scotus,1.0,9,92,,,1.0,WHRehnquist,1994.0
scotus,1.0,9,92,,,1.0,WHRehnquist,1994.0
scotus,0.5555555555555556,9,92,,,1.0,WHRehnquist,1994.0
scotus,0.5555555555555556,9,92,,,1.0,JPStevens,1994.0
scotus,0.3333333333333333,9,92,,,1.0,WHRehnquist,1994.0
scotus,0.1111111111111111,9,92,,,1.0,JPStevens,1994.0
scotus,1.0,9,92,,,1.0,WHRehnquist,1994.0
scotus,0.5555555555555556,9,92,,,1.0,WHRehnquist,1994.0
scotus,0.3333333333333333,9,92,,,1.0,JPStevens,1994.0
scotus,0.1111111111111111,9,92,,,1.0,WHRehnquist,1994.0
scotus,1.0,9,92,,,1.0,WHRehnquist,1994.0
scotus,1.0,9,92,,,1.0,WHRehnquist,1994.0
scotus,1.0,9,92,,,1.0,WHRehnquist,1994.0
scotus,0.3333333333333333,9,92,,,1.0,JPStevens,1994.0
scotus,0.3333333333333333,9,92,,,1.0,WHRehnquist,1994.0
scotus,1.0,9,92,,,1.0,WHRehnquist,1994.0
scotus,0.5555555555555556,9,92,,,1.0,WHRehnquist,1994.0
scotus,0.1111111111111111,9,92,,,1.0,JPStevens,1994.0
scotus,1.0,9,92,,,1.0,WHRehnquist,1994.0
scotus,1.0,9,92,,,1.0,WHRehnquist,1994.0
scotus,0.7777777777777778,9,92,,,1.0,WHRehnquist,1994.0
scotus,1.0,9,92,,,1.0,WHRehnquist,1994.0
scotus,0.5555555555555556,9,92,,,1.0,JPStevens,1994.0
scotus,0.7777777777777778,9,92,,,1.0,WHRehnquist,1994.0
scotus,0.1111111111111111,9,92,,,1.0,WHRehnquist,1994.0
scotus,1.0,9,92,,,1.0,WHRehnquist,1994.0
scotus,1.0,8,92,,,1.0,WHRehnquist,1994.0
scotus,0.1111111111111111,9,92,,,1.0,WHRehnquist,1994.0
scotus,1.0,8,92,,,1.0,WHRehnquist,1994.0
scotus,0.7777777777777778,9,92,,,1.0,WHRehnquist,1994.0
scotus,1.0,9,92,,,1.0,WHRehnquist,1994.0
scotus,1.0,9,92,,,1.0,WHRehnquist,1994.0
scotus,0.3333333333333333,9,92,,,1.0,WHRehnquist,1994.0
scotus,1.0,9,92,,,1.0,WHRehnquist,1994.0
scotus,0.7777777777777778,9,92,,,1.0,WHRehnquist,1994.0
scotus,0.1111111111111111,9,92,,,1.0,JPStevens,1994.0
scotus,0.1111111111111111,9,92,,,1.0,WHRehnquist,1994.0
scotus,0.1111111111111111,9,92,,,1.0,WHRehnquist,1994.0
scotus,1.0,9,92,,,1.0,WHRehnquist,1994.0
scotus,0.75,8,92,,,1.0,WHRehnquist,1994.0
scotus,1.0,9,92,,,1.0,WHRehnquist,1994.0
scotus,1.0,9,92,,,1.0,WHRehnquist,1994.0
scotus,0.3333333333333333,9,92,,,1.0,WHRehnquist,1994.0
scotus,0.1111111111111111,9,92,,,1.0,WHRehnquist,1994.0
scotus,0.3333333333333333,9,92,,,1.0,WHRehnquist,1994.0
scotus,0.3333333333333333,9,92,,,1.0,JPStevens,1994.0
scotus,1.0,9,92,,,1.0,WHRehnquist,1994.0
scotus,0.5555555555555556,9,92,,,1.0,WHRehnquist,1994.0
scotus,0.1111111111111111,9,92,,,1.0,WHRehnquist,1994.0
scotus,0.1111111111111111,9,92,,,1.0,WHRehnquist,1994.0
scotus,0.1111111111111111,9,92,,,1.0,WHRehnquist,1994.0
scotus,1.0,5,91,,,1.0,WHRehnquist,1995.0
scotus,1.0,9,91,,,1.0,WHRehnquist,1995.0
scotus,1.0,9,91,,,1.0,WHRehnquist,1995.0
scotus,1.0,9,91,,,1.0,WHRehnquist,1995.0
scotus,0.7777777777777778,9,91,,,1.0,WHRehnquist,1995.0
scotus,0.5555555555555556,9,91,,,1.0,WHRehnquist,1995.0
scotus,1.0,9,91,,,1.0,WHRehnquist,1995.0
scotus,0.5555555555555556,9,91,,,1.0,JPStevens,1995.0
scotus,1.0,9,91,,,1.0,WHRehnquist,1995.0
scotus,1.0,9,91,,,1.0,WHRehnquist,1995.0
scotus,1.0,9,91,,,1.0,WHRehnquist,1995.0
scotus,1.0,9,91,,,1.0,WHRehnquist,1995.0
scotus,0.5555555555555556,9,91,,,1.0,WHRehnquist,1995.0
scotus,0.3333333333333333,9,91,,,1.0,JPStevens,1995.0
scotus,1.0,9,91,,,1.0,WHRehnquist,1995.0
scotus,1.0,9,91,,,1.0,WHRehnquist,1995.0
scotus,0.0,8,91,,,1.0,BRWhite,1995.0
scotus,0.5555555555555556,9,91,,,1.0,WHRehnquist,1995.0
scotus,1.0,9,91,,,1.0,WHRehnquist,1995.0
scotus,1.0,9,91,,,1.0,WHRehnquist,1995.0
scotus,0.7777777777777778,9,91,,,1.0,WHRehnquist,1995.0
scotus,0.5555555555555556,9,91,,,1.0,WHRehnquist,1995.0
scotus,1.0,9,91,,,1.0,WHRehnquist,1995.0
scotus,0.7777777777777778,9,91,,,1.0,WHRehnquist,1995.0
scotus,0.75,8,91,,,1.0,WHRehnquist,1995.0
scotus,1.0,8,91,,,1.0,WHRehnquist,1995.0
scotus,0.3333333333333333,9,91,,,1.0,WHRehnquist,1995.0
scotus,1.0,9,91,,,1.0,WHRehnquist,1995.0
scotus,1.0,9,91,,,1.0,WHRehnquist,1995.0
scotus,0.5,8,91,,,1.0,WHRehnquist,1995.0
scotus,0.1111111111111111,9,91,,,1.0,WHRehnquist,1995.0
scotus,1.0,9,91,,,1.0,WHRehnquist,1995.0
scotus,1.0,9,91,,,1.0,WHRehnquist,1995.0
scotus,0.3333333333333333,9,91,,,1.0,WHRehnquist,1995.0
scotus,1.0,9,91,,,1.0,WHRehnquist,1995.0
scotus,1.0,9,91,,,1.0,WHRehnquist,1995.0
scotus,0.1111111111111111,9,91,,,1.0,WHRehnquist,1995.0
scotus,0.1111111111111111,9,91,,,1.0,JPStevens,1995.0
scotus,1.0,9,91,,,1.0,WHRehnquist,1995.0
scotus,1.0,9,91,,,1.0,WHRehnquist,1995.0
scotus,0.1111111111111111,9,91,,,1.0,JPStevens,1995.0
scotus,0.7777777777777778,9,91,,,1.0,WHRehnquist,1995.0
scotus,0.3333333333333333,9,91,,,1.0,WHRehnquist,1995.0
scotus,1.0,9,91,,,1.0,WHRehnquist,1995.0
scotus,1.0,9,91,,,1.0,WHRehnquist,1995.0
scotus,0.1111111111111111,9,91,,,1.0,JPStevens,1995.0
scotus,0.5555555555555556,9,91,,,1.0,WHRehnquist,1995.0
scotus,0.7777777777777778,9,91,,,1.0,WHRehnquist,1995.0
scotus,1.0,9,91,,,1.0,WHRehnquist,1995.0
scotus,1.0,9,91,,,1.0,WHRehnquist,1995.0
scotus,1.0,9,91,,,1.0,WHRehnquist,1995.0
scotus,0.1111111111111111,9,91,,,1.0,JPStevens,1995.0
scotus,0.3333333333333333,9,91,,,1.0,JPStevens,1995.0
scotus,0.3333333333333333,9,91,,,1.0,JPStevens,1995.0
scotus,0.7777777777777778,9,91,,,1.0,WHRehnquist,1995.0
scotus,0.7777777777777778,9,91,,,1.0,WHRehnquist,1995.0
scotus,1.0,9,91,,,1.0,WHRehnquist,1995.0
scotus,1.0,9,91,,,1.0,WHRehnquist,1995.0
scotus,1.0,9,91,,,1.0,WHRehnquist,1995.0
scotus,1.0,9,91,,,1.0,WHRehnquist,1995.0
scotus,1.0,9,91,,,1.0,WHRehnquist,1995.0
scotus,1.0,9,91,,,1.0,WHRehnquist,1995.0
scotus,1.0,9,91,,,1.0,WHRehnquist,1995.0
scotus,1.0,9,91,,,1.0,WHRehnquist,1995.0
scotus,0.5,8,91,,,1.0,WHRehnquist,1995.0
scotus,1.0,9,91,,,1.0,WHRehnquist,1995.0
scotus,0.1111111111111111,9,91,,,1.0,WHRehnquist,1995.0
scotus,0.1111111111111111,9,91,,,1.0,WHRehnquist,1995.0
scotus,0.5555555555555556,9,91,,,1.0,JPStevens,1995.0
scotus,0.1111111111111111,9,91,,,1.0,WHRehnquist,1995.0
